Time Series,R2
<<<<<<< HEAD
TS1,0.46663549237284263
TS2,0.3917770883320315
TS3,0.4131622104171294
TS4,0.27676802749536755
TS5,0.48837380396991303
TS6,0.5292531165206739
TS7,0.27676802749536755
=======
TS1,-762.283714927333
TS2,-708.9432964815586
TS3,-720.241353437086
TS4,-738.7522977694281
TS5,-717.7281481365836
TS6,-854.4140348094292
TS7,-0.002710333834222922
>>>>>>> 529586dc (21.04.25-3)
